a	art.—
absenteeism	n.常習的欠勤@n.不在地主制
absinthe	n.アブサン
absolute	a.絶対的な@a.完全な@n.絶対
absolutely	ad.絶対に@ad.完全に
absolutes	n.絶対的なもの（複数形）
absolution	n.赦免@n.罪の許し
absorb	vt.吸収する@vt.夢中にさせる
absorbance	n.吸光度
absorbed	v.吸収した@a.夢中の
absorbent	a.吸収性の@n.吸収剤
absorber	n.吸収装置@n.ショックアブソーバー
absorbers	n.吸収材@n.緩衝器
absorbing	a.夢中にさせる@v.吸収する
absorbs	v.吸収する@v.夢中にさせる
absorption	n.吸収@n.没頭
abstain	vi.控える@vi.棄権する
abstained	vi.控えた@vi.棄権した
abstentions	n.棄権@n.自制
abstinence	n.節制@n.禁欲
abstract	a.抽象的な@n.要約
abstracted	a.上の空の@v.抽出した
abstracting	n.抽象化@vt.要約する
abstraction	n.抽象@n.抽象化
abstractions	n.抽象@n.抽象概念
abstracts	n.抄録@n.要約
absurd	a.ばかげた@a.不条理な
absurdity	n.不条理@n.馬鹿げたこと
abuja	n.アブジャ
abundance	n.豊富@n.多量
abundances	n.豊富さ@n.大量
abundant	a.豊富な@a.たくさんの
abundantly	ad.豊富に@ad.十分に
abuse	n.虐待@n.乱用@v.虐待する
abused	v.虐待した@a.虐待された
abuser	n.虐待者@n.乱用者
abusers	n.虐待者@n.乱用者
abuses	n.乱用@n.虐待@v.乱用する
abusing	v.乱用する@v.虐待する
abusive	a.虐待的な@a.乱用の
abutting	a.隣接する@vi.接する
aby	n.エイビー
abysmal	a.底知れぬ@a.最悪の
abyss	n.深淵@n.奈落
acacia	n.アカシア
academe	n.学界@n.学問の世界
academia	n.学界@n.学問の世界
academic	a.学術的な@n.学者
academically	ad.学術的に
academics	n.学者@n.学業
academies	n.学会@n.アカデミー
academy	n.アカデミー@n.学院
acadia	n.アカディア
acadian	a.アカディアの@n.アカディア人
acapulco	n.アカプルコ
acc	n.口座
accel	n.加速@v.加速する
accelerate	v.加速する@vt.促進する
accelerated	a.加速された@v.加速した
accelerates	v.加速する@v.促進する
accelerating	v.加速する@a.加速している
acceleration	n.加速@n.加速度
accelerator	n.アクセル@n.加速装置
accelerators	n.アクセル@n.加速器
accelerometer	n.加速度計
accent	n.アクセント@n.訛り
accented	a.アクセントのある@v.強調した
accents	n.アクセント@n.なまり
accentuate	vt.強調する@vt.目立たせる
accentuated	vt.強調した@a.際立った
accenture	n.アクセンチュア
accept	v.受け入れる@v.受諾する
acceptability	n.受容性@n.許容度
acceptable	a.受け入れられる@a.許容できる
acceptance	n.受け入れ@n.承諾
acceptances	n.受諾@n.引受け
accepted	a.受け入れられた@v.受け入れた
accepting	v.受け入れている@a.受容的な
acceptor	n.受容体@n.引受人
accepts	v.受け入れる@v.受諾する
access	n.アクセス@v.アクセスする
accessed	v.アクセスした@a.アクセスされた
accesses	v.アクセスする@n.アクセス
accessibility	n.アクセシビリティ@n.利用しやすさ
accessible	a.アクセス可能な
accessing	v.アクセスしている
accession	n.加入@n.就任
accessions	n.加入@n.即位@n.受入
accessories	n.アクセサリー@n.付属品
accessory	n.アクセサリー@n.付属品
accident	n.事故
accidental	a.偶然の@a.事故の
accidentally	ad.偶然に@ad.うっかり
accidents	n.事故@n.偶然
acclaim	n.称賛@vt.喝采する
acclaimed	a.絶賛された@v.称賛した
accolade	n.栄誉@n.賞賛
accolades	n.賞賛@n.栄誉
accommodate	vt.収容する@vt.適応させる
accommodated	v.収容した@v.宿泊させた
accommodates	v.収容する@v.適応させる
accommodating	a.親切な@v.収容する
accommodation	n.宿泊施設@n.収容
accommodations	n.宿泊施設@n.便宜
accompanied	v.同行した@v.伴った
accompanies	v.伴う@v.同行する
accompaniment	n.伴奏@n.付随物
accompaniments	n.伴奏（複数形）@n.付け合わせ（複数形）
accompany	vt.同行する@vt.伴う
accompanying	v.伴う@a.付随する
accomplice	n.共犯者@n.ぐる
accomplish	vt.達成する@vt.成し遂げる
accomplished	a.熟達した@v.達成した
accomplishes	vt.成し遂げる@vt.完成する
accomplishing	v.達成する@v.成し遂げる
accomplishment	n.業績@n.達成
accomplishments	n.業績@n.達成
accord	n.合意@n.協定@v.一致する
accordance	n.一致@n.調和
accorded	v.与えた@v.一致した
according	prep.〜によると
accordingly	ad.したがって@ad.それに応じて
accordion	n.アコーディオン
accords	n.協定@v.一致する
account	n.アカウント@n.口座@n.説明
accountability	n.説明責任@n.責任
accountable	a.説明責任のある@a.責任を持つ
accountancy	n.会計学@n.会計業務
accountant	n.会計士
accountants	n.会計士
accounted	v.説明した@a.占めた
accounting	n.会計
accounts	n.アカウント@n.口座
accra	n.アクラ
accreditation	n.認定@n.認可
accredited	a.認定された@a.公認の
accrediting	v.認定する@v.信任する
accretion	n.付加@n.増加
accrual	n.発生@n.累積
accruals	n.発生額@n.未払費用
accrue	vi.生じる@vi.増加する
accrued	v.生じた@a.未払いの
accruing	vi.生じる@vt.蓄積する
acct	n.口座@n.アカウント
accumulate	vt.蓄積する@vi.たまる
accumulated	v.蓄積した@a.累積された
accumulates	vt.蓄積する@vi.たまる
accumulating	v.蓄積する@a.累積する
accumulation	n.蓄積@n.累積
accumulations	n.蓄積@n.累積
accumulator	n.蓄電池@n.アキュムレータ
accuracy	n.正確さ@n.精度
accurate	a.正確な
accurately	ad.正確に@ad.的確に
accusation	n.告発@n.非難
accusations	n.告発@n.非難
accuse	vt.告発する@vt.非難する
accused	n.被告人@v.告発した
accuser	n.告発者@n.非難する人
accuses	v.非難する@v.告発する
accusing	v.告発する@a.非難する
accustomed	a.慣れた@a.いつもの
ace	n.エース@a.一流の
aces	n.エース@n.達人
acetaminophen	n.アセトアミノフェン
acetate	n.酢酸塩@n.アセテート
acetic	a.酢酸の@a.酸っぱい
acetone	n.アセトン
acetyl	n.アセチル
acetylcholine	n.アセチルコリン
acetylene	n.アセチレン
ache	n.痛み@vi.痛む
aches	n.痛み@v.痛む
achievable	a.達成可能な@a.実現可能な
achieve	v.達成する@v.成し遂げる
achieved	v.達成した@a.達成された
achievement	n.達成@n.業績
achievements	n.達成@n.業績
achiever	n.達成者@n.成功者
achievers	n.成功者@n.達成者
achieves	v.達成する@v.成し遂げる
achieving	v.達成している
achilles	n.アキレス
aching	a.痛む@v.うずく
acid	n.酸@a.酸性の
acidic	a.酸性の@a.酸っぱい
acidity	n.酸性度@n.酸味
acidosis	n.アシドーシス@n.酸血症
acids	n.酸
acis	n.アキス
acknowledge	vt.認める@vt.感謝する
acknowledged	v.認めた@a.認められた
acknowledgement	n.承認@n.謝辞
acknowledgements	n.謝辞@n.承認
acknowledges	v.認める@v.感謝する
acknowledging	v.認める@v.感謝する
acme	n.頂点@n.絶頂
acne	n.にきび@n.アクネ
acorn	n.どんぐり
acorns	n.ドングリ
acosta	n.アコスタ
acoustic	a.音響の@a.アコースティックの
acoustical	a.音響の@a.聴覚の
acoustics	n.音響学@n.音響効果
acquaint	vt.知らせる@vt.精通させる
acquaintance	n.知人@n.面識
acquaintances	n.知人@n.知り合い
acquainted	a.知り合いの@a.精通した
acquire	vt.取得する@vt.習得する
acquired	v.取得した@a.後天的な
acquirer	n.取得者@n.買収者
acquires	v.獲得する@v.習得する
acquiring	v.取得する@v.獲得する
acquisition	n.取得@n.買収
acquisitions	n.買収@n.取得
acquittal	n.無罪放免@n.釈放
acquitted	v.無罪にした@a.釈放された
acre	n.エーカー
acreage	n.エーカー数@n.面積
acres	n.エーカー
acrobat	n.アクロバット@n.曲芸師
acrobatic	a.アクロバットの@a.曲芸的な
acronym	n.頭字語@n.略語
acronyms	n.頭字語@n.略語
acropolis	n.アクロポリス@n.城山
across	prep.〜を横切って@ad.向こう側に
acrylamide	n.アクリルアミド
acrylic	n.アクリル@a.アクリルの
acrylics	n.アクリル樹脂@n.アクリル画
act	v.行動する@n.行為@n.法律
acted	v.行動した@v.演じた
actin	n.アクチン
acting	n.演技@a.代理の
action	n.行動@n.アクション
actionable	a.訴訟可能な@a.実行可能な
actions	n.行動@n.アクション
activate	vt.活性化する@vt.起動する
activated	v.有効にした@a.活性化された
activates	v.活性化する@v.起動する
activating	v.活性化する@v.起動する
activation	n.アクティベーション@n.起動
activator	n.活性剤@n.アクティベーター
activators	n.活性化物質@n.アクチベーター
active	a.活発な@a.アクティブな
actively	ad.積極的に@ad.活発に
actives	n.活動家@a.活発な
activism	n.行動主義@n.活動
activist	n.活動家
activists	n.活動家
activities	n.活動
activity	n.活動
acton	n.アクトン
actor	n.俳優@n.役者
actors	n.俳優@n.役者
actress	n.女優
actresses	n.女優
acts	n.行為@v.行動する
actual	a.実際の
actuality	n.現実@n.実際
actually	ad.実際に@ad.本当は
actuarial	a.保険数理の@a.アクチュアリーの
actuaries	n.保険数理士
actuary	n.保険数理士
actuate	v.作動させる@v.駆動する
actuated	vt.作動させた@a.駆動された
actuation	n.作動@n.駆動
actuator	n.アクチュエータ@n.作動装置
actuators	n.アクチュエータ@n.作動装置
acuity	n.鋭さ@n.視力
acumen	n.洞察力@n.明敏さ
acupressure	n.指圧
acupuncture	n.鍼治療@n.鍼灸
acute	a.急性の@a.鋭い
acutely	ad.鋭く@ad.深刻に
acyclic	a.非環式の@a.非周期的な
acyclovir	n.アシクロビル
acyl	n.アシル基
ada	n.エイダ
adage	n.格言@n.ことわざ
adagio	n.アダージョ@ad.ゆっくりと
adam	n.アダム
adamant	a.断固とした@a.頑固な
adams	n.アダムス
adapt	v.適応する@vt.適応させる
adaptability	n.適応性@n.融通性
adaptable	a.適応できる@a.融通のきく
adaptation	n.適応@n.翻案
adaptations	n.適応@n.改作
adapted	a.適応した@v.改作した
adapter	n.アダプター
adapters	n.アダプター
adapting	v.適応する@v.改作する
adaptive	a.適応性の@a.適応的な
adaptor	n.アダプター
adaptors	n.アダプター
adapts	vt.適応させる@vi.適応する
add	v.加える@v.追加する
addams	n.アダムス
added	v.追加した@a.追加の
addenda	n.追加@n.補遺
addendum	n.補遺@n.追加
adder	n.加算器@n.マムシ
addict	n.中毒者@vt.中毒にする
addicted	a.中毒の@a.夢中になった
addicting	a.中毒性のある@v.夢中にさせる
addiction	n.中毒@n.依存症
addictions	n.中毒@n.依存症
addictive	a.中毒性の@a.習慣性の
addicts	n.中毒者@v.夢中にさせる
addie	n.アディ
adding	v.追加している@n.追加
addington	n.アディントン
addison	n.アディソン
addition	n.追加@n.足し算
additional	a.追加の
additionally	ad.さらに@ad.加えて
additions	n.追加@n.増築
additive	n.添加物@a.加法の
additives	n.添加物@n.添加剤
address	n.住所@n.アドレス@v.演説する
addressable	a.アドレス指定可能な
addressed	v.宛てた@v.対処した
addressee	n.受取人@n.名宛人
addresses	n.住所@v.演説する
addressing	v.対処している@v.宛てている
adds	v.追加する@v.加える
adelaide	n.アデレード
adele	n.アデル
adeline	n.アデリーン
aden	n.アデン
adenine	n.アデニン
adenocarcinoma	n.腺癌
adenoma	n.腺腫
adenosine	n.アデノシン
adenovirus	n.アデノウイルス
adept	a.熟達した@n.達人
adequacy	n.妥当性@n.適切さ
adequate	a.十分な@a.適切な
adequately	ad.十分に@ad.適切に
adhere	vi.付着する@vi.固守する
adhered	v.付着した@v.固守した
adherence	n.固守@n.支持
adherent	n.支持者@a.付着した
adherents	n.支持者@n.信奉者
adheres	v.付着する@v.固守する
adhering	v.付着する@v.固守する
adhesion	n.付着@n.接着
adhesive	n.接着剤@a.粘着性の
adhesives	n.接着剤
adiabatic	a.断熱の
adidas	n.アディダス
adieu	int.さようなら@n.別れ
adige	n.アディジェ川
adios	int.さようなら
adipose	a.脂肪の@n.脂肪組織
adirondack	n.アディロンダック
adirondacks	n.アディロンダック
adj	n.形容詞
adjacency	n.隣接@n.近接
adjacent	a.隣接した@a.近くの
adjective	n.形容詞@a.形容詞の
adjectives	n.形容詞
adjoining	a.隣接した@v.隣接する
adjoint	n.随伴行列@a.随伴の
adjourn	v.延期する@v.休会する
adjourned	v.延期した@v.閉会した
adjournment	n.延期@n.休会
adjudged	vt.判決した@a.裁定された
adjudicated	vt.裁定した@a.判決された
adjudication	n.裁決@n.判決
adjudicator	n.審判員@n.裁定者
adjunct	n.付属物@a.補助の
adjust	vt.調整する@vi.適応する
adjustable	a.調整可能な@a.調節できる
adjusted	a.調整された@v.調整した
adjuster	n.調節器@n.調停者
adjusters	n.調整者@n.損害査定人
adjusting	v.調整する@n.調整
adjustment	n.調整@n.調節
adjustments	n.調整@n.調節
adjusts	v.調整する@v.適応する
adjutant	n.副官@n.補佐官
adjuvant	n.アジュバント@a.補助的な
adkins	n.アドキンス
adler	n.アドラー
adm	n.提督
admin	n.管理者@n.アドミン
administer	vt.管理する@vt.投与する
administered	v.管理した@v.投与した
administering	v.管理する@v.投与する
administers	v.管理する@v.執行する
administration	n.管理@n.政権
administrations	n.政権@n.管理
administrative	a.管理の@a.行政の
administratively	ad.管理上@ad.行政的に
administrator	n.管理者
administrators	n.管理者
admins	n.管理者@n.管理人
admirable	a.称賛に値する@a.立派な
admirably	ad.見事に@ad.立派に
admiral	n.提督@n.海軍大将
admirals	n.提督@n.海軍大将
admiralty	n.海軍本部@n.海事裁判所
admiration	n.賞賛@n.感嘆
admire	vt.賞賛する@vt.感心する
admired	v.賞賛した@v.感心した
admirer	n.賞賛者@n.崇拝者
admirers	n.崇拝者@n.ファン
admiring	a.感嘆する@v.賞賛する
admissibility	n.許容性@n.容認性
admissible	a.許容できる@a.認められる
admission	n.入場@n.入学@n.認めること
admissions	n.入場@n.入学許可
admit	vt.認める@vt.入場を許可する
admits	v.認める@v.入場を許可する
admittance	n.入場許可@n.アドミタンス
admitted	v.認めた@v.入場を許可した
admittedly	ad.確かに@ad.認めるところでは
admitting	v.認める@v.入場を許可する
admixture	n.混合@n.混合物
admixtures	n.混合物@n.添加物
admonished	vt.忠告した@vt.戒めた
admonition	n.訓戒@n.忠告
ado	n.騒ぎ@n.大騒ぎ
adobe	n.アドビ@n.日干しレンガ
adolescence	n.思春期@n.青年期
adolescent	n.青年@a.思春期の
adolescents	n.青年@n.思春期の若者
adolf	n.アドルフ
adolfo	n.アドルフォ
adolph	n.アドルフ
adonis	n.アドニス@n.美男子
adopt	vt.採用する@vt.養子にする
adopted	v.採用した@a.養子の
adoptee	n.養子@n.被養子
adopter	n.採用者@n.養子縁組者
adopters	n.採用者@n.養親
adopting	v.採用する@v.養子にする
adoption	n.採用@n.養子縁組
adoptions	n.養子縁組@n.採用
adoptive	a.養子の@a.養子縁組の
adopts	v.採用する@v.養子にする
adorable	a.愛らしい@a.かわいい
adoration	n.崇拝@n.敬愛
adore	vt.崇拝する@vt.大好きである
adored	v.崇拝した@a.熱愛された
adorn	vt.飾る@vt.装飾する
adorned	v.飾った@a.装飾された
adrenal	a.副腎の@n.副腎
adrenalin	n.アドレナリン
adrenaline	n.アドレナリン
adrenergic	a.アドレナリン作動性の
adrian	n.エイドリアン
adriana	n.アドリアナ
adriatic	a.アドリア海の@n.アドリア海
adrienne	n.エイドリアン
adrift	ad.漂って@a.漂流して
ads	n.広告
adsorbed	vt.吸着した@a.吸着された
adsorption	n.吸着
adult	n.大人@a.成人の
adultery	n.姦通@n.不倫
adulthood	n.成人期@n.大人であること
adults	n.大人
adv	n.副詞@n.広告
advance	n.前進@v.進む@a.事前の
advanced	a.高度な@a.上級の
advancement	n.前進@n.昇進
advancements	n.進歩@n.昇進
advances	n.進歩@vt.進める
advancing	v.前進する@a.進んでいる
advantage	n.利点@n.アドバンテージ
advantageous	a.有利な@a.都合の良い
advantages	n.利点@n.メリット
advection	n.移流
advent	n.出現@n.到来
adventist	n.アドベンチスト
adventure	n.冒険
adventurer	n.冒険家@n.冒険者
adventurers	n.冒険家
adventures	n.冒険@n.アドベンチャー
adventurous	a.冒険好きな@a.大胆な
adverb	n.副詞
adverbs	n.副詞
adversarial	a.敵対的な@a.対立する
adversaries	n.敵@n.対戦相手
adversary	n.敵@n.対戦相手
adverse	a.不利な@a.悪い
adversely	ad.不利に@ad.逆に
adversity	n.逆境@n.不運
advert	n.広告
advertise	v.広告する@v.宣伝する
advertised	v.広告した@a.宣伝された
advertisement	n.広告
advertisements	n.広告
advertiser	n.広告主
advertisers	n.広告主
advertises	vt.広告する@vt.宣伝する
advertising	n.広告
adverts	n.広告
advice	n.アドバイス@n.助言
advices	n.助言@n.忠告
advil	n.アドビル
advisable	a.望ましい@a.賢明な
advise	vt.助言する@vt.忠告する
advised	v.助言した@a.通知された
advisement	n.熟慮@n.検討
adviser	n.アドバイザー@n.顧問
advisers	n.アドバイザー@n.顧問
advises	v.助言する@v.忠告する
advising	v.助言する@n.アドバイス
advisor	n.アドバイザー@n.顧問
advisories	n.勧告@n.注意報
advisors	n.アドバイザー@n.顧問
advisory	n.勧告@a.顧問の
advocacy	n.擁護@n.支持
advocate	n.擁護者@vt.主張する
advocated	v.提唱した@v.主張した
advocates	n.支持者@v.支持する
advocating	v.提唱する@v.支持する
adware	n.アドウェア
aegean	n.エーゲ海@a.エーゲ海の
aegis	n.庇護@n.後援
aeon	n.永劫@n.イオン
aeration	n.通気@n.曝気
aerial	a.空中の@n.アンテナ
aerials	n.空中撮影@n.アンテナ
aero	a.航空の@n.エアロ
aerobic	a.有酸素の@a.好気性の
aerobics	n.エアロビクス
aerodrome	n.飛行場
aerodynamic	a.空力の@a.流線型の
aerodynamics	n.空気力学
aeronautical	a.航空学の@a.航空の
aeronautics	n.航空学@n.航空術
aeroplane	n.飛行機
aeroplanes	n.飛行機
aerosol	n.エアロゾル@n.スプレー
aerosols	n.エアロゾル@n.噴霧器
aerospace	n.航空宇宙@a.航空宇宙の
aesop	n.イソップ
aesthetic	a.美的な@n.美学
aesthetically	ad.美的に@ad.審美的に
aesthetics	n.美学@n.審美学
aet	n.延長戦後
aetna	n.エトナ
afar	ad.遠くに@ad.遙か遠く
affair	n.事件@n.情事@n.事柄
affaires	n.情事@n.事件
affairs	n.事柄@n.事務
affect	v.影響を与える
affected	a.影響を受けた@v.影響を与えた
affecting	v.影響を与えている@a.感動的な
affection	n.愛情@n.愛着
affectionate	a.愛情深い@a.やさしい
affectionately	ad.愛情を込めて@ad.親しみを込めて
affections	n.愛情@n.感情
affective	a.感情の@a.情緒的な
affects	v.影響する@v.感動させる
afferent	a.求心性の@n.求心性神経
affiche	n.ポスター
affidavit	n.宣誓供述書
affidavits	n.宣誓供述書
affiliate	n.アフィリエイト@n.関連会社
affiliated	a.提携した@a.関連した
affiliates	n.関連会社
affiliation	n.提携@n.所属
affiliations	n.所属@n.提携
affine	a.アフィンの@a.姻戚の
affinities	n.親和性@n.類似性
affinity	n.親和性@n.類似性
affirm	vt.断言する@vt.確認する
affirmation	n.肯定@n.断言
affirmations	n.肯定@n.確認
affirmative	a.肯定的な@n.肯定
affirmatively	ad.肯定的に@ad.積極的に
affirmed	v.肯定した@v.確認した
affirming	v.肯定する@a.確認する
affirms	v.断言する@v.肯定する
affix	vt.貼り付ける@n.接辞
affixed	v.添付した@v.貼り付けた
afflicted	a.苦しんでいる@v.悩ませた
affliction	n.苦痛@n.苦悩
afflictions	n.苦悩（複数形）@n.疾患（複数形）
affluence	n.富裕@n.豊富
affluent	a.裕福な@n.支流
afford	vt.余裕がある@vt.与える
affordability	n.手頃さ@n.入手しやすさ
affordable	a.手頃な
affordably	ad.手頃な価格で
afforded	v.余裕があった@v.与えた
affording	vt.与える@vt.余裕がある
affords	v.余裕がある@v.与える
affront	n.侮辱@vt.侮辱する
afghan	a.アフガニスタンの@n.アフガニスタン人
afghani	n.アフガニー@a.アフガニスタンの
afghanistan	n.アフガニスタン
afghans	n.アフガン人@n.アフガン毛布
aficionado	n.愛好家@n.熱狂的ファン
aficionados	n.愛好家@n.熱狂的ファン
afield	ad.野外に@ad.遠く離れて
afloat	a.浮かんで@ad.海上に
afoot	ad.徒歩で@a.進行中で
aforementioned	a.前述の@a.上記の
aforesaid	a.前述の
afr	n.アフリカ
afraid	a.怖がって@a.恐れて
africa	n.アフリカ
african	a.アフリカの@n.アフリカ人
africana	n.アフリカーナ@a.アフリカ関連の
africans	n.アフリカ人
afrikaans	n.アフリカーンス語
afro	n.アフロ@a.アフリカの
aft	ad.船尾に@a.後部の
after	prep.〜の後に@conj.〜した後
aftercare	n.アフターケア@n.退院後の治療
afterglow	n.残照@n.余韻
afterlife	n.来世@n.死後の世界
aftermarket	n.アフターマーケット@a.補修部品の
aftermath	n.余波@n.後遺症
afternoon	n.午後
afternoons	n.午後
afterschool	a.放課後の
aftershave	n.アフターシェーブローション
aftershaves	n.アフターシェーブローション
aftershock	n.余震@n.余波
afterthought	n.後知恵@n.あとから思いついたこと
afterwards	ad.その後@ad.後で
aga	n.アガ@n.司令官
agadir	n.アガディール
again	ad.再び@ad.また
against	prep.〜に対して@prep.〜に反して
agape	a.口を開けた@n.アガペー
agar	n.寒天
agassi	n.アガシ
agate	n.メノウ@n.瑪瑙
agatha	n.アガサ
agave	n.リュウゼツラン@n.アガベ
age	n.年齢@n.時代
aged	a.〜歳の@a.年を取った
agee	n.エイジー
ageing	n.老化@a.老化する
ageless	a.永遠の@a.年齢不詳の
agencies	n.代理店@n.機関
agency	n.代理店@n.機関
agenda	n.議題@n.アジェンダ
agendas	n.議題@n.予定表
agent	n.エージェント@n.代理人
agents	n.エージェント
ages	n.年齢@n.時代
aggie	n.アギー
agglomeration	n.凝集@n.集塊
aggravate	vt.悪化させる@vt.苛立たせる
aggravated	a.悪化した@v.悪化させた
aggravating	a.いらだたせる@v.悪化させる
aggravation	n.悪化@n.いらだち
aggregate	n.集合体@a.集合の@vt.集める
aggregated	a.集約された@v.集計した
aggregates	n.集計@v.集める
aggregating	v.集計する@v.集める
aggregation	n.集合@n.集約
aggression	n.攻撃@n.侵略
aggressive	a.攻撃的な@a.積極的な
aggressively	ad.積極的に@ad.攻撃的に
aggressiveness	n.攻撃性@n.積極性
aggressor	n.侵略者@n.攻撃者
aggrieved	a.不当な扱いを受けた@a.傷ついた
agile	a.敏捷な@a.機敏な
agility	n.敏捷性@n.機敏さ
aging	n.老化@a.老化する
agios	n.打歩（複数形）
agitated	a.動揺した@v.かき乱した
agitation	n.動揺@n.扇動
agitator	n.扇動者@n.攪拌機
agnes	n.アグネス
agnew	n.アグニュー
agni	n.アグニ
agnostic	n.不可知論者@a.不可知論の
agnosticism	n.不可知論
ago	ad.〜前に
agonist	n.作動薬@n.アゴニスト
agonists	n.アゴニスト@n.作動薬
agonizing	a.苦しい@vt.苦悩させる
agony	n.苦悶@n.激しい苦痛
agora	n.アゴラ@n.広場
agr	n.農業
agra	n.アーグラ
agrarian	a.農業の@a.農地の
agree	v.同意する
agreeable	a.快い@a.同意する
agreed	v.同意した@a.合意した
agreeing	v.同意する@v.賛成する
agreement	n.合意@n.契約
agreements	n.合意
agrees	v.同意する@v.一致する
agribusiness	n.農業関連産業
agric	n.農業
agricola	n.アグリコラ
agricultural	a.農業の
agriculture	n.農業
agrippa	n.アグリッパ
agronomic	a.農学の@a.農業の
agronomy	n.農学@n.作物学
aguilar	n.アギラール
aguirre	n.アギーレ
agustin	n.アグスティン
aha	int.あー@int.なるほど
ahab	n.アハブ
ahead	ad.前に@a.先の
ahem	int.えへん@int.おっと
ahmad	n.アフマド
ahmadinejad	n.アフマディネジャド
ahmed	n.アーメド
ahoy	int.おーい@int.アホイ
aid	n.援助@v.援助する
aida	n.アイーダ
aide	n.補佐官@n.助手
aided	v.援助した@a.支援された
aides	n.補佐官@n.側近
aiding	v.援助する@n.支援
aids	n.エイズ@n.援助
aiken	n.エイケン
aikido	n.合気道
ail	vt.苦しめる@vi.病む
aileen	n.アイリーン
ailing	a.病気の@a.不調の
ailment	n.病気@n.不調
ailments	n.病気@n.不調
aim	v.狙う@n.目的
aimed	v.狙った@a.目的とした
aimee	n.エイミー
aiming	v.狙う@v.目指す
aims	n.目的@vi.狙う
ain	n.アイン
air	n.空気@n.空中@v.放送する
airbag	n.エアバッグ
airbags	n.エアバッグ
airborne	a.空中の@a.空輸の
airbrush	n.エアブラシ@vt.修整する
airbus	n.エアバス
aircraft	n.航空機
aircrew	n.乗務員@n.搭乗員
airdrie	n.エアドリー
aired	v.放送した@a.放送された
airedale	n.エアデールテリア
aires	n.アイレス
airfare	n.航空運賃
airfares	n.航空運賃
airfield	n.飛行場
airfields	n.飛行場
airflow	n.気流@n.空気の流れ
airframe	n.機体
airing	n.放送@n.換気
