the	art+m.یہ@art+f.یہ
re	prep.کے بارے میں
next	a+m.اگلا@a+f.اگلی@ad.پھر
used	a.استعمال شدہ@v.استعمال کیا
go	v.جانا
work	n+m.کام@v.کام کرنا
last	a+m.آخری@a+f.آخری@v.چلنا@ad.آخر میں
most	a.سب سے زیادہ@ad.سب سے زیادہ
products	n+f.مصنوعات
music	n+f.موسیقی
buy	v.خریدنا
data	n+m.ڈیٹا@n+f.معلومات
make	v.بنانا@n+f.ساخت
them	pron.انہیں@pron.ان کو
should	v.چاہیے
product	n+f.مصنوعہ@n+m.پروڈکٹ
system	n+m.نظام
post	n+f.ڈاک@n+m.پوسٹ@v.بھیجنا
her	pron+f.اس کی@pron+f.اسے
city	n+m.شہر
add	v.شامل کرنا@v.جوڑنا
policy	n+f.پالیسی@n+f.حکمت عملی
number	n+m.نمبر@n+f.تعداد
such	a.ایسا@a.ایسی
please	v.خوش کرنا@int.براہ کرم
available	a.دستیاب@a.موجود
copyright	n+m.کاپی رائٹ@n+m.حق تصنیف
support	n+f.مدد@n+m.سہارا@v.مدد کرنا
message	n+m.پیغام@v.پیغام بھیجنا
after	prep.کے بعد@ad.بعد میں
best	a.بہترین@ad.سب سے اچھا
software	n+m.سافٹ ویئر
then	ad.پھر@ad.تب@conj.تو
jan	n+m.جنوری
good	a+m.اچھا@a+f.اچھی@n+m.بھلائی
video	n+f.ویڈیو@n+m.ویڈیو
well	ad.اچھی طرح@n+m.کنواں@int.خیر
where	ad.کہاں@conj.جہاں
info	n+f.معلومات
rights	n+m.حقوق
public	a.عوامی@n+m.عوام
books	n+f.کتابیں
high	a+m.اونچا@a+f.اونچی@a.زیادہ
school	n+m.سکول@n+m.مدرسہ
through	prep.کے ذریعے@prep.سے گزر کر
each	a.ہر@pron.ہر ایک
links	n+m.لنکس@n+f.روابط
she	pron+f.وہ
review	n+m.جائزہ@v.جائزہ لینا
years	n+m.سال
order	n+m.حکم@n+f.ترتیب@v.حکم دینا
very	ad.بہت
privacy	n+f.رازداری@n+f.خلوت
book	n+f.کتاب@v.بک کرنا
items	n+f.اشیاء@n+m.آئٹمز
company	n+f.کمپنی@n+f.صحبت
read	v.پڑھنا
group	n+m.گروپ@n+m.گروہ
sex	n+f.جنس@n+m.جنسی تعلق
need	n+f.ضرورت@v.ضرورت ہونا
many	a.بہت سے@a.کئی
user	n+m.صارف
said	v.کہا
de	prep.کا
does	v.کرتا ہے@v.کرتی ہے
set	n+m.سیٹ@v.رکھنا@v.ترتیب دینا
under	prep.کے نیچے@ad.نیچے
general	a.عام@n+m.جنرل
research	n+f.تحقیق@v.تحقیق کرنا
university	n+f.یونیورسٹی@n+f.جامعہ
january	n+m.جنوری
mail	n+f.ڈاک@v.ڈاک بھیجنا
full	a.پورا@a.بھرا ہوا
map	n+m.نقشہ@v.نقشہ بنانا
reviews	n+m.جائزے
program	n+m.پروگرام@v.پروگرام کرنا
life	n+f.زندگی
know	v.جاننا
games	n+f.کھیل
way	n+m.راستہ@n+m.طریقہ
days	n+m.دن
management	n+f.انتظامیہ@n+m.انتظام
part	n+m.حصہ@v.الگ کرنا
could	v.سکتا تھا@v.سکتی تھی
great	a+m.عظیم@a+f.عظیم@a.زبردست
united	a.متحدہ
hotel	n+m.ہوٹل
real	a.اصلی@a.حقیقی
item	n+f.چیز@n+m.آئٹم
international	a.بین الاقوامی
ebay	n+m.ای بے
must	v.ضرور@v.لازم ہے
store	n+f.دکان@n+m.سٹور@v.ذخیرہ کرنا
travel	n+m.سفر@v.سفر کرنا
comments	n+f.تبصرے@n+f.رائے
made	v.بنایا@a.بنا ہوا
development	n+f.ترقی@n+m.ترقیاتی عمل
report	n+f.رپورٹ@v.رپورٹ کرنا
off	ad.بند@prep.سے دور@a.بند
member	n+m.رکن@n+m.ممبر
details	n+f.تفصیلات
line	n+f.لائن@n+f.قطار@v.قطار بنانا
terms	n+f.شرائط@n+m.اصطلاحات
before	prep.پہلے@ad.پہلے@conj.اس سے پہلے کہ
hotels	n+m.ہوٹل
did	v.کیا
send	v.بھیجنا
right	a+m.صحیح@a+f.صحیح@n+m.حق@ad.بالکل@a.دایاں
type	n+f.قسم@n+m.ٹائپ@v.ٹائپ کرنا
because	conj.کیونکہ
local	a.مقامی
those	pron.وہ@a.وہ
using	v.استعمال کرتے ہوئے
results	n+m.نتائج
office	n+m.دفتر@n+f.آفس
education	n+f.تعلیم
national	a.قومی
car	n+f.گاڑی@n+f.کار
design	n+m.ڈیزائن@v.ڈیزائن کرنا
take	v.لینا
posted	v.پوسٹ کیا@a.بھیجا ہوا
internet	n+m.انٹرنیٹ
address	n+m.پتہ@v.خطاب کرنا
community	n+f.برادری@n+f.کمیونٹی
within	prep.کے اندر@ad.اندر
states	n+f.ریاستیں
area	n+m.علاقہ@n+m.رقبہ
want	v.چاہنا
phone	n+m.فون@v.فون کرنا
shipping	n+f.شپنگ@n+f.ترسیل
reserved	a.محفوظ@v.محفوظ کیا
subject	n+m.مضمون@n+m.موضوع@a.ماتحت
between	prep.کے درمیان
forum	n+m.فورم@n+m.مجلس
family	n+m.خاندان@n+f.فیملی
long	a+m.لمبا@a+f.لمبی@ad.لمبے عرصے سے
based	a.مبنی@v.بنیاد رکھی
code	n+m.کوڈ@v.کوڈ کرنا
show	v.دکھانا@n+m.شو@n+f.نمائش
even	ad.بھی@a.برابر@a.جفت
black	a+m.کالا@a+f.کالی@n+m.کالا رنگ
check	v.چیک کرنا@n+m.چیک
special	a.خاص@a.خصوصی
prices	n+f.قیمتیں
website	n+f.ویب سائٹ
index	n+f.فہرست@n+m.انڈیکس
being	v.ہونا@n+f.ہستی
women	n+f.عورتیں@n+f.خواتین
much	a.بہت@ad.بہت
sign	n+f.علامت@n+m.نشان@v.دستخط کرنا
file	n+f.فائل@v.فائل کرنا
link	n+m.لنک@n+f.کڑی@v.جوڑنا
open	a+m.کھلا@a+f.کھلی@v.کھولنا
today	n+m.آج@ad.آج
technology	n+f.ٹیکنالوجی
south	n+m.جنوب@a.جنوبی
case	n+m.معاملہ@n+f.کیس@n+m.صندوق
project	n+m.منصوبہ@n+m.پراجیکٹ@v.پیش کرنا
same	a.ایک جیسا@pron.وہی
pages	n+m.صفحات
version	n+m.ورژن@n+f.نسخہ
section	n+m.حصہ@n+f.سیکشن
own	a.اپنا@v.مالک ہونا
found	v.ملا@v.پایا@v.قائم کیا
sports	n+f.کھیل@n+m.سپورٹس
house	n+m.گھر@n+m.مکان
related	a.متعلقہ@v.تعلق رکھتا
security	n+f.سیکورٹی@n+f.حفاظت
both	a.دونوں@pron.دونوں
county	n+f.کاؤنٹی@n+m.ضلع
american	a.امریکی@n+m.امریکی
photo	n+f.تصویر@n+m.فوٹو
game	n+m.کھیل@n+f.گیم
members	n+m.ارکان@n+m.ممبران
power	n+f.طاقت@n+f.قوت@v.چلانا
while	conj.جبکہ@n+f.دیر
care	n+f.دیکھ بھال@v.پرواہ کرنا
network	n+m.نیٹ ورک@n+f.جال
down	ad.نیچے@prep.نیچے@a.نیچے کا
computer	n+m.کمپیوٹر
systems	n+m.نظام
three	n+m.تین@a.تین
total	a.کل@n+m.کل
place	n+f.جگہ@v.رکھنا
end	n+m.اختتام@v.ختم کرنا
following	a.درج ذیل@v.پیروی کرتے ہوئے
download	v.ڈاؤن لوڈ کرنا@n+m.ڈاؤن لوڈ
him	pron+m.اسے@pron+m.اس کو
without	prep.کے بغیر
per	prep.فی@prep.ہر
access	n+m.رسائی@v.رسائی حاصل کرنا
think	v.سوچنا
north	n+m.شمال@a.شمالی
resources	n+m.وسائل
current	a.موجودہ@n+m.دھارا
posts	n+f.پوسٹیں@n+f.ڈاکیں
big	a+m.بڑا@a+f.بڑی
media	n+f.میڈیا@n+m.ذرائع ابلاغ
law	n+m.قانون
control	n+m.کنٹرول@v.قابو کرنا
water	n+m.پانی
history	n+f.تاریخ
pictures	n+f.تصویریں
size	n+f.سائز@n+m.حجم
art	n+f.آرٹ@n+m.فن
personal	a.ذاتی@a.نجی
since	prep.سے@conj.جب سے@ad.تب سے
including	prep.سمیت@v.شامل کرتے ہوئے
guide	n+f.رہنمائی@n+m.گائیڈ@v.رہنمائی کرنا
shop	n+f.دکان@v.خریداری کرنا
directory	n+f.ڈائریکٹری@n+f.فہرست
board	n+m.بورڈ@n+f.تختی@v.سوار ہونا
location	n+f.جگہ@n+m.مقام
change	n+f.تبدیلی@v.تبدیل کرنا
white	a+m.سفید@a+f.سفید@n+m.سفید رنگ
text	n+m.متن@n+f.تحریر@v.پیغام بھیجنا
small	a+m.چھوٹا@a+f.چھوٹی
rating	n+f.درجہ بندی@n+f.ریٹنگ
rate	n+f.شرح@n+m.ریٹ@v.درجہ دینا
government	n+f.حکومت
children	n+m.بچے
during	prep.کے دوران
return	v.واپس آنا@n+f.واپسی
students	n+m.طلباء
shopping	n+f.خریداری
account	n+m.اکاؤنٹ@n+m.کھاتہ
times	n+m.وقت@n+f.بار
sites	n+f.جگہیں@n+f.سائٹیں
level	n+f.سطح@n+m.درجہ
digital	a.ڈیجیٹل
profile	n+m.پروفائل@n+f.تعارف
previous	a+m.پچھلا@a+f.پچھلی
form	n+m.فارم@n+f.شکل@v.بنانا
events	n+f.تقریبات@n+m.واقعات
love	n+f.محبت@n+m.پیار@v.پیار کرنا
old	a+m.پرانا@a+f.پرانی@a+m.بوڑھا@a+f.بوڑھی
john	n+m.جان
main	a.اصل@a.مرکزی
call	v.فون کرنا@v.بلانا@n+f.کال
hours	n+m.گھنٹے
image	n+f.تصویر@n+m.عکس
department	n+m.شعبہ@n+m.محکمہ
title	n+m.عنوان@n+f.ٹائٹل
description	n+f.تفصیل@n+m.بیان
non	a.غیر
insurance	n+f.بیمہ@n+m.انشورنس
another	a+m.ایک اور@pron.دوسرا
why	ad.کیوں
shall	v.گا@v.گی
property	n+f.جائیداد@n+f.ملکیت
class	n+f.کلاس@n+f.جماعت
cd	n+f.سی ڈی
still	ad.ابھی بھی@a.ساکن
money	n+m.پیسہ@n+f.رقم
quality	n+f.کوالٹی@n+f.معیار
every	a.ہر
listing	n+f.فہرست@n+f.لسٹنگ
content	n+m.مواد@a.مطمئن
country	n+m.ملک@n+f.سرزمین
private	a.نجی@a.ذاتی
little	a+m.چھوٹا@a+f.چھوٹی@a.تھوڑا@ad.تھوڑا
visit	v.ملاقات کرنا@n+f.ملاقات
save	v.بچانا@v.محفوظ کرنا
tools	n+m.اوزار
low	a+m.کم@a+f.کم@a+m.نیچا@a+f.نیچی
reply	v.جواب دینا@n+m.جواب
customer	n+m.گاہک
december	n+m.دسمبر
compare	v.موازنہ کرنا
movies	n+f.فلمیں
include	v.شامل کرنا
college	n+m.کالج
value	n+f.قیمت@n+f.اہمیت@v.قدر کرنا
article	n+m.مضمون@n+f.شے
york	n+m.یارک
man	n+m.آدمی@n+m.مرد
card	n+m.کارڈ
jobs	n+f.نوکریاں@n+m.کام
provide	v.فراہم کرنا
food	n+m.کھانا@n+f.غذا
source	n+m.ذریعہ@n+m.ماخذ
author	n+m.مصنف@n+f.مصنفہ
different	a.مختلف
press	n+f.پریس@v.دبانا
learn	v.سیکھنا
sale	n+f.فروخت@n+f.سیل
around	prep.کے ارد گرد@ad.ارد گرد
print	v.چھاپنا@n+f.چھپائی@n+m.پرنٹ
course	n+m.کورس@n+m.راستہ
job	n+f.نوکری@n+m.کام
canada	n+m.کینیڈا
process	n+m.عمل@v.پروسیس کرنا
teen	n+m.نوعمر@a.نوعمر
room	n+m.کمرہ
stock	n+m.اسٹاک@n+m.ذخیرہ@v.ذخیرہ کرنا
training	n+f.تربیت@n+m.ٹریننگ
too	ad.بھی@ad.زیادہ
credit	n+m.کریڈٹ@n+m.اعتبار@v.جمع کرنا
point	n+m.نقطہ@n+f.بات@v.اشارہ کرنا
join	v.شامل ہونا@v.جوڑنا
science	n+f.سائنس@n+m.علم
men	n+m.مرد@n+m.آدمی
categories	n+f.اقسام@n+f.زمرے
advanced	a.ترقی یافتہ@a.جدید
west	n+m.مغرب@a.مغربی
sales	n+f.فروخت
look	v.دیکھنا@n+f.نظر
english	n+f.انگریزی@a.انگریز
left	a+m.بایاں@a+f.بائیں@v.چھوڑا@n+m.بایاں طرف
team	n+f.ٹیم
estate	n+f.جائیداد@n+m.اسٹیٹ
box	n+m.صندوق@n+m.ڈبہ
conditions	n+f.شرائط@n+f.حالات
select	v.منتخب کرنا@a.منتخب
windows	n+f.کھڑکیاں@n+m.ونڈوز
photos	n+f.تصویریں@n+m.فوٹوز
gay	a.ہم جنس پرست@a.خوش
thread	n+m.دھاگا@n+f.تھریڈ
week	n+m.ہفتہ
category	n+f.قسم@n+m.زمرہ
note	n+m.نوٹ@v.نوٹ کرنا
live	v.رہنا@a.زندہ@a.براہ راست
large	a+m.بڑا@a+f.بڑی
gallery	n+f.گیلری
table	n+f.میز@n+m.جدول
register	v.رجسٹر کرنا@n+m.رجسٹر
however	ad.تاہم@conj.جیسے بھی
june	n+m.جون
october	n+m.اکتوبر
november	n+m.نومبر
market	n+f.مارکیٹ@n+m.بازار@v.مارکیٹنگ کرنا
library	n+f.لائبریری@n+m.کتب خانہ
really	ad.واقعی@ad.سچ میں
action	n+m.عمل@n+f.کارروائی
start	v.شروع کرنا@n+f.شروعات
series	n+f.سیریز@n+m.سلسلہ
model	n+m.ماڈل@n+f.نمونہ
features	n+f.خصوصیات
air	n+f.ہوا@v.نشر کرنا
industry	n+f.صنعت
plan	n+m.منصوبہ@v.منصوبہ بنانا
human	a.انسانی@n+m.انسان
provided	v.فراہم کیا@conj.بشرطیکہ
yes	int.ہاں@int.جی
required	a.ضروری@v.درکار
second	a+m.دوسرا@a+f.دوسری@n+m.سیکنڈ
hot	a+m.گرم@a+f.گرم
accessories	n+f.لوازمات
cost	n+f.لاگت@n+f.قیمت@v.قیمت ہونا
movie	n+f.فلم
forums	n+m.فورمز
march	n+m.مارچ@v.مارچ کرنا
la	n+m.لاس اینجلس
september	n+m.ستمبر
better	a.بہتر@ad.بہتر
say	v.کہنا
questions	n+m.سوالات
july	n+m.جولائی
yahoo	n+m.یاہو
going	v.جا رہا ہے@a.موجودہ
medical	a.طبی
test	n+m.ٹیسٹ@n+m.امتحان@v.جانچنا
friend	n+m.دوست
come	v.آنا
dec	n+m.دسمبر
server	n+m.سرور
pc	n+m.پی سی@n+m.کمپیوٹر
study	n+f.تعلیم@n+m.مطالعہ@v.پڑھنا
application	n+f.درخواست@n+m.ایپلیکیشن
cart	n+f.گاڑی@n+m.کارٹ
staff	n+m.عملہ
articles	n+m.مضامین
san	n+m.سان
feedback	n+m.فیڈ بیک@n+f.رائے
again	ad.پھر@ad.دوبارہ
play	v.کھیلنا@n+m.کھیل
looking	v.دیکھ رہا ہے
issues	n+m.مسائل@n+f.شمارے
april	n+m.اپریل
never	ad.کبھی نہیں
users	n+m.صارفین
complete	a.مکمل@v.مکمل کرنا
street	n+f.گلی@n+m.سڑک
topic	n+m.موضوع
comment	n+m.تبصرہ@v.تبصرہ کرنا
financial	a.مالی@a.مالیاتی
things	n+f.چیزیں
working	v.کام کر رہا ہے@a.کام کرنے والا
against	prep.کے خلاف
standard	n+m.معیار@a.معیاری
tax	n+m.ٹیکس@v.ٹیکس لگانا
person	n+m.شخص@n+f.ذات
below	prep.کے نیچے@ad.نیچے
mobile	a.موبائل@n+m.موبائل
less	a.کم@ad.کم
got	v.ملا@v.حاصل کیا
blog	n+m.بلاگ@v.بلاگ لکھنا
party	n+f.پارٹی@n+f.جماعت
payment	n+f.ادائیگی@n+m.پیمنٹ
equipment	n+m.سامان@n+f.آلات
login	n+m.لاگ ان@v.لاگ ان کرنا
student	n+m.طالب علم@n+f.طالبہ
let	v.دینا@v.اجازت دینا
programs	n+m.پروگرام
offers	n+f.پیشکشیں@v.پیش کرتا ہے
legal	a.قانونی
above	prep.کے اوپر@ad.اوپر
recent	a.حالیہ
park	n+m.پارک@v.پارک کرنا
stores	n+f.دکانیں@n+m.اسٹورز
side	n+f.طرف@n+m.پہلو
act	n+m.عمل@v.عمل کرنا@n+m.ایکٹ
problem	n+m.مسئلہ
red	a+m.لال@a+f.لال@n+m.لال رنگ
give	v.دینا
memory	n+f.یاداشت@n+f.میموری
performance	n+f.کارکردگی@n+m.پرفارمنس
social	a.سماجی@a.سوشل
august	n+m.اگست
quote	n+m.اقتباس@v.حوالہ دینا
language	n+f.زبان
story	n+f.کہانی@n+m.قصہ
sell	v.بیچنا
options	n+m.اختیارات
experience	n+m.تجربہ@v.تجربہ کرنا
rates	n+f.شرحیں
create	v.بنانا@v.تخلیق کرنا
key	n+f.چابی@n+m.کلید@a.اہم
body	n+m.جسم@n+f.باڈی
young	a+m.نوجوان@a+f.نوجوان@a+m.جوان@a+f.جوان
america	n+m.امریکہ
important	a.اہم@a.ضروری
field	n+m.میدان@n+m.کھیت
few	a.کچھ@a.تھوڑے
east	n+m.مشرق@a.مشرقی
paper	n+m.کاغذ@n+m.پیپر
single	a.واحد@a+m.اکیلا@a+f.اکیلی
ii	n+m.دوم
age	n+f.عمر@n+m.دور
activities	n+f.سرگرمیاں
club	n+m.کلب
example	n+f.مثال
girls	n+f.لڑکیاں
additional	a.اضافی
password	n+m.پاس ورڈ
latest	a.تازہ ترین@a.جدید ترین
something	pron.کچھ
road	n+f.سڑک@n+m.راستہ
gift	n+m.تحفہ@n+f.گفٹ
question	n+m.سوال@v.سوال کرنا
changes	n+f.تبدیلیاں@v.تبدیل ہوتا ہے
night	n+f.رات
hard	a+m.سخت@a+f.سخت@a.مشکل@ad.سختی سے
texas	n+m.ٹیکساس
oct	n+m.اکتوبر
pay	v.ادا کرنا@n+f.تنخواہ
four	n+m.چار@a.چار
poker	n+m.پوکر
status	n+m.حیثیت@n+f.حالت
browse	v.براؤز کرنا
issue	n+m.مسئلہ@n+m.شمارہ@v.جاری کرنا
range	n+f.رینج@n+m.دائرہ@v.پھیلنا
building	n+f.عمارت@v.تعمیر کرتے ہوئے
seller	n+m.بیچنے والا@n+f.بیچنے والی
court	n+f.عدالت@n+m.کورٹ
february	n+m.فروری
always	ad.ہمیشہ
result	n+m.نتیجہ@v.نتیجہ نکلنا
audio	n+m.آڈیو@a.آواز کا
light	n+f.روشنی@a+m.ہلکا@a+f.ہلکی@v.جلانا
write	v.لکھنا
war	n+f.جنگ
nov	n+m.نومبر
offer	v.پیش کرنا@n+f.پیشکش
blue	a+m.نیلا@a+f.نیلی@n+m.نیلا رنگ
groups	n+m.گروپ@n+m.گروہ
al	n+m.ال
easy	a.آسان
given	v.دیا@a.مفروضہ
files	n+f.فائلیں
event	n+m.واقعہ@n+f.تقریب
release	v.جاری کرنا@n+f.رہائی
analysis	n+m.تجزیہ
request	n+f.درخواست@v.درخواست کرنا
fax	n+m.فیکس@v.فیکس کرنا
china	n+m.چین
making	v.بنا رہا ہے@n+f.ساخت
picture	n+f.تصویر@v.تصور کرنا
needs	n+f.ضروریات@v.ضرورت ہے
possible	a.ممکن
might	v.شاید@n+f.طاقت
professional	a.پیشہ ورانہ@n+m.پیشہ ور
yet	ad.ابھی تک@conj.پھر بھی
month	n+m.مہینہ
major	a.بڑا@a.اہم@n+m.میجر
star	n+m.ستارہ@n+m.سٹار
areas	n+m.علاقے
future	n+m.مستقبل@a.آئندہ
space	n+f.جگہ@n+f.خلا
committee	n+f.کمیٹی
hand	n+m.ہاتھ@v.دینا
sun	n+m.سورج
cards	n+m.کارڈز
problems	n+m.مسائل
london	n+m.لندن
washington	n+m.واشنگٹن
meeting	n+f.میٹنگ@n+f.ملاقات
become	v.بننا
interest	n+f.دلچسپی@n+m.سود@v.دلچسپی لینا
id	n+f.شناخت
child	n+m.بچہ@n+f.بچی
keep	v.رکھنا
enter	v.داخل ہونا@v.درج کرنا
california	n+m.کیلیفورنیا
porn	n+f.فحاشی
share	v.بانٹنا@n+m.حصہ@n+m.شیئر
similar	a.ملتا جلتا@a.مماثل
garden	n+m.باغ@n+f.گارڈن
schools	n+m.سکول
million	n+m.ملین@n+m.دس لاکھ
added	v.شامل کیا@a.اضافی
reference	n+m.حوالہ@n+f.ریفرنس
companies	n+f.کمپنیاں
listed	v.درج کیا@a.درج شدہ
baby	n+m.بچہ@n+f.بچی
learning	n+f.سیکھنا@v.سیکھ رہا ہے
energy	n+f.توانائی
run	v.دوڑنا@v.چلانا@n+f.دوڑ
delivery	n+f.ڈیلیوری@n+f.ترسیل
net	n+m.جال@n+m.نیٹ@a.خالص
popular	a.مقبول
term	n+f.مدت@n+m.اصطلاح
film	n+f.فلم@v.فلم بنانا
stories	n+f.کہانیاں
put	v.رکھنا
computers	n+m.کمپیوٹر
journal	n+m.جریدہ@n+f.جرنل
reports	n+f.رپورٹیں@v.رپورٹ کرتا ہے
co	n+f.کمپنی
try	v.کوشش کرنا
welcome	int.خوش آمدید@v.خیر مقدم کرنا@n+m.استقبال
central	a.مرکزی
images	n+f.تصویریں
president	n+m.صدر
notice	n+m.نوٹس@v.نوٹس کرنا
god	n+m.خدا@n+m.اللہ
original	a.اصل@a.اصلی
head	n+m.سر@n+m.سربراہ@v.سربراہی کرنا
radio	n+m.ریڈیو
until	prep.تک@conj.جب تک
cell	n+m.سیل@n+m.خلیہ
self	n+f.ذات@pron.خود
council	n+f.کونسل@n+f.مجلس
away	ad.دور@a.غیر موجود
includes	v.شامل ہے
track	n+m.ٹریک@n+m.راستہ@v.پیچھا کرنا
australia	n+m.آسٹریلیا
discussion	n+f.بحث@n+m.مباحثہ
archive	n+m.محفوظات@v.محفوظ کرنا
once	ad.ایک بار@conj.جب
others	pron.دوسرے@n+m.دوسرے لوگ
entertainment	n+f.تفریح@n+m.انٹرٹینمنٹ
agreement	n+m.معاہدہ@n+f.رضامندی
format	n+m.فارمیٹ@v.فارمیٹ کرنا
least	a.کم سے کم@ad.کم از کم
society	n+f.سوسائٹی@n+m.معاشرہ
months	n+m.مہینے
log	n+m.لاگ@n+f.لکڑی@v.ریکارڈ کرنا
safety	n+f.حفاظت
friends	n+m.دوست
sure	a.یقینی@ad.ضرور
trade	n+f.تجارت@v.تجارت کرنا
edition	n+m.ایڈیشن@n+m.شمارہ
cars	n+f.گاڑیاں
messages	n+m.پیغامات
marketing	n+f.مارکیٹنگ
tell	v.بتانا
further	ad.مزید@a.اور
updated	v.اپ ڈیٹ کیا@a.تازہ ترین
association	n+f.ایسوسی ایشن@n+f.انجمن
able	a.قابل
having	v.رکھتے ہوئے
provides	v.فراہم کرتا ہے
david	n+m.ڈیوڈ
fun	n+f.مزہ@a.مزیدار
already	ad.پہلے ہی
green	a+m.سبز@a+f.سبز@n+m.سبز رنگ
studies	n+m.مطالعات@n+f.تحقیقات
close	v.بند کرنا@a.قریب@a.نزدیک
common	a.عام@a.مشترک
drive	v.چلانا@n+f.ڈرائیو@n+m.مہم
specific	a.مخصوص@a.خاص
several	a.کئی@a.متعدد
gold	n+m.سونا@a.سنہری
feb	n+m.فروری
living	a.زندہ@n+f.زندگی@v.رہ رہا ہے
sep	n+m.ستمبر
collection	n+m.مجموعہ@n+f.کلیکشن
called	v.کہا@v.بلایا
short	a+m.چھوٹا@a+f.چھوٹی@a.مختصر
arts	n+f.فنون@n+f.آرٹس
lot	n+m.لاٹ@n+f.بہت سارا
ask	v.پوچھنا
display	v.دکھانا@n+f.نمائش@n+m.ڈسپلے
limited	a.محدود
powered	a.طاقتور@v.طاقت سے چلنے والا
solutions	n+m.حل
means	n+m.ذرائع@v.مطلب ہے
director	n+m.ڈائریکٹر@n+m.ہدایت کار
daily	a.روزانہ@ad.روزانہ
beach	n+m.ساحل@n+f.بیچ
past	n+m.ماضی@a.گزشتہ@prep.سے گزر کر
natural	a.قدرتی@a.فطری
whether	conj.چاہے@conj.آیا
due	a.واجب الادا@a.مقرر
electronics	n+f.الیکٹرانکس
five	n+m.پانچ@a.پانچ
upon	prep.پر@prep.اوپر
period	n+f.مدت@n+m.دور
planning	n+f.منصوبہ بندی@v.منصوبہ بنا رہا ہے
database	n+m.ڈیٹا بیس
says	v.کہتا ہے
official	a.سرکاری@n+m.اہلکار
weather	n+m.موسم
mar	n+m.مارچ@v.خراب کرنا
land	n+f.زمین@v.اترنا
