pl.अंगण	n+m.courtyards
pl.भार क्षमता	n+f.payloads
pl.भित्रे	n+m.cowards
pl.भूक	n+f.appetites
pl.भूखंड	n+m.plats
pl.भूगोल	n+f.geographies
pl.भूतपिशाच	n+m.gnomes
pl.भूलभुलैया	n+m.mazes
pl.भेदन	n+n.penetrations
pl.भोवरे	n+m.swirls
pl.भ्रम	n+f.fallacies
pl.मंडप	n+m.gazebos@n+m.pavilions
pl.मंदी	n+f.depressions
pl.मगर	n+m.alligators
pl.मज्जासंदेशवाहक	n+m.neurotransmitters
pl.मद्य	n+m.liqueurs
pl.मनगटी घड्याळे	n+f.wristwatches
pl.ममी	n+f.mummies
pl.मल्टीप्लेक्सर	n+m.multiplexers
pl.मसाला मिश्रण	n+f.marinades
pl.महामार्ग	n+m.motorways
pl.महोदय	n+m.sirs
pl.मांजरीची पिल्ले	n+f.kitties
pl.मागचे दिवे	n+f.taillights
pl.मागणी	n+f.requisitions
pl.माणसे	n+m.menschen
pl.माती	n+f.earths
pl.मातीकाम	n+n.earthworks
pl.मान्यवर	n+m.dignitaries
pl.मायदेश	n+f.homelands
pl.मारियाना	n+f.marianas
pl.मारेकरी	n+m.slayers
pl.मार्गदर्शक	n+m.navigators@n+m.ushers
pl.मार्टिनी	n+m.martinis
pl.मार्शमॅलो	n+m.marshmallows
pl.माळा	n+f.garlands
pl.माव्हा	n+m.aphids
pl.मिडशिपमन	n+m.midshipmen
pl.मिडी	n+m.midis
pl.मित्र	n+m.homies
pl.मिनीस्कर्ट	n+f.miniskirts
pl.मुख्य मुद्दे	n+f.keynotes
pl.मुत्सद्दी	n+m.statesmen
pl.मुद्दे	n+m.contentions
pl.मुरुम	n+m.pimples
pl.मृतदेह	n+m.stiffs
pl.मृत्युपत्रातील देणगी	n+m.bequests
pl.मॅक्सी	n+m.maxis
pl.मॅरेथॉन	n+m.marathons
pl.मेगावॅट	n+m.megawatts
pl.मेजवान्या	n+f.carnivals
pl.मॉड्युलेटर	n+m.modulators
pl.मोकासिन	n+m.moccasins
pl.मोनोमर	n+m.monomers
pl.मोरी	n+m.culverts
pl.यंत्रकार	n+m.machinists
pl.यकृत	n+n.livers
pl.यकृतपेशी	n+m.hepatocytes
pl.यार	n+m.homies
pl.युक्त्या	n+f.wiles
pl.येणारे	n+m.comers
pl.रक्तस्राव	n+m.bleeds
pl.रखेली	n+f.mistresses
pl.रणनीतिकार	n+m.strategists
pl.रद्दबातल	n+f.repeals
pl.रसिक	n+m.connoisseurs
pl.रस्ता अडथळे	n+m.roadblocks
pl.रांगणारे	n+m.crawlers
pl.रांगणे	n+f.crawls
pl.राखदान	n+f.ashtrays
pl.राजकारणी	n+m.statesmen
pl.राजवंश	n+f.dynasties
pl.रानटी प्रदेश	n+m.wilds
pl.रिक्लायनर	n+m.recliners
pl.रीबूट	n+m.reboots
pl.रुग्णालयात दाखल करणे	n+f.hospitalizations
pl.रुब्रिक्स	n+f.rubrics
pl.रूढीवाक्य	n+m.cliches
pl.रूपांतरण	n+f.makeovers
pl.रॅकेट	n+m.rackets
pl.रॅटलस्नेक	n+f.rattlers
pl.रेचक	n+m.laxatives
pl.रेडिओलॉजिस्ट	n+m.radiologists
pl.रोख पैसे	n+m.readies
pl.रोस्टर	n+m.roasters
pl.लपून मारणारे	n+m.snipers
pl.लहर	n+f.whims
pl.लहरी	n+f.fads
pl.लहान खिळे	n+m.brads
pl.लहान खोल्या	n+f.cubicles
pl.लहान दागिने	n+m.trinkets
pl.लहान द्वीप	n+m.islets
pl.लहान मुले	n+m.rugrats
pl.लहान लाटा	n+f.wavelets
pl.लहान होड्या	n+f.dinghies
pl.लाख	n+m.lakhs
pl.लाटा	n+f.swells
pl.लिंग	n+m.penises
pl.लिखा	n+f.nits
pl.लिथोग्राफ	n+m.lithographs
pl.लिम्फोमा	n+m.lymphomas
pl.लुच्चेगिरी	n+f.shenanigans
pl.लुथरन	n+m.lutherans
pl.लेम	n+m.lems
pl.लेमिंग	n+m.lemmings
pl.लॉकेट	n+m.lockets
pl.लोकर	n+f.fleeces
pl.लोणी	n+m.butters
pl.वंश	n+f.gens
pl.वंशावळी	n+f.lineages
pl.वकील	n+m.barristers
pl.वजावट रक्कम	n+m.deductibles
pl.वणवे	n+m.wildfires
pl.वराचे साथीदार	n+m.groomsmen
pl.वर्णद्वेषी	n+m.racists
pl.वसतिगृहे	n+f.dormitories
pl.वसीयत	n+f.bequests
pl.वस्त्रे	n+m.apparels
pl.वाढ	n+f.enlargements
pl.वाद	n+f.contentions
pl.वादी	n+m.litigants
pl.वायू	n+m.farts
pl.वाहतूक कामगार	n+m.teamsters
pl.विंगर	n+m.wingers
pl.विकर्षक	n+m.repellents
pl.विकृत व्यक्ती	n+m.perverts
pl.विकृती	n+f.deformations@n+f.deformities
pl.विक्रेते	n+m.salesmen
pl.विचार	n+n.ruminations
pl.विचित्र वस्तू	n+m.curiosities
pl.विचित्रता	n+f.peculiarities
pl.विजय	n+f.conquests
pl.विजार	n+m.breeches
pl.वित्तपुरवठादार	n+m.financiers
pl.विनाश	n+f.catastrophes
pl.विनोदी उक्ती	n+f.mots
pl.विनोदी प्रहसन	n+m.skits
pl.विनोदी शब्दखेळ	n+f.puns
pl.विमाने	n+m.airliners
pl.विरुद्धार्थी शब्द	n+m.antonyms
pl.विरूपण	n+n.deformations
pl.विरोधाभास	n+m.paradoxes
pl.विशेषता	n+f.peculiarities
pl.विश्रांती	n+f.recesses
pl.विषदंत	n+f.fangs
pl.विषारी साप	n+m.vipers
pl.विष्ठा	n+n.droppings
pl.विस्तार	n+n.enlargements
pl.वीजगळती	n+m.blackouts
pl.वीणा	n+f.harps
pl.वीर्यस्खलन	n+f.ejaculations
pl.वुडविंड वाद्ये	n+m.woodwinds
pl.वृषण	n+m.testes
pl.वृहद रेणू	n+f.macromolecules
pl.वेअरवुल्फ	n+m.werewolves
pl.वेचणारे	n+m.pickers
pl.वेडर पक्षी	n+m.waders
pl.वेतन	n+m.stipends
pl.वेदनाशामक	n+m.painkillers
pl.वेदी	n+m.altars
pl.वेल्ड जोड	n+m.welds
pl.वेळ नोंदी	n+m.timestamps
pl.वेळ श्रेणी	n+f.timescales
pl.वेश्यागृहे	n+m.brothels
pl.व्यंगचित्रकार	n+m.cartoonists
pl.व्यंजने	n+m.consonants
pl.व्यापारी	n+m.tradesmen
pl.व्याप्ती	n+f.extents
pl.व्हाइटबोर्ड	n+m.whiteboards
pl.व्हीआयपी	n+m.vips
pl.शत्रुत्व	n+f.rivalries
pl.शब्द	n+m.mots
pl.शवपेटी	n+m.coffins
pl.शिक्षिका	n+f.mistresses
pl.शिखा	n+f.skewers
pl.शिया	n+m.shiites
pl.शिष्यवृत्ती	n+f.stipends
pl.शीख	n+m.sikhs
pl.शून्य	n+m.zeroes
pl.शेकेल	n+m.shekels
pl.शेतघरे	n+f.farmhouses
pl.श्लेष	n+m.puns
pl.संग्रह	n+f.assemblages
pl.संघटन	n+n.conglomerates
pl.संघर्ष	n+f.confrontations
pl.संताप	n+m.rages
pl.संध्याकाळ	n+f.eves
pl.सजावट	n+m.decors
pl.सबमिटर	n+m.submitters
pl.समघटक	n+m.isomers
pl.समतोलक	n+m.equalizers
pl.समर्थक	n+m.partisans
pl.समाजशास्त्रज्ञ	n+m.sociologists
pl.समानता	n+f.equalities
pl.समुदाय	n+f.communes@n+f.multitudes
pl.समुद्री पक्षी	n+m.seagulls@n+m.terns
pl.समूह	n+m.conglomerates
pl.सरळ करणारे	n+m.straighteners
pl.सराईचालक	n+m.innkeepers
pl.सर्जनशील लोक	n+m.creatives
pl.सर्फॅक्टंट	n+m.surfactants
pl.सलगम	n+f.swedes
pl.सलाम	n+m.salutes
pl.सल्ले	n+m.advices
pl.सळई	n+m.skewers
pl.सांख्यिकीतज्ञ	n+m.statisticians
pl.साइटमॅप	n+m.sitemaps
pl.साक्षात्कार	n+n.realizations
pl.साठे	n+m.stockpiles
pl.सातत्य	n+n.continua
pl.सानुकूलन	n+f.customizations
pl.सापळे	n+m.snares
pl.साफसफाईवाले	n+m.janitors
pl.सामना	n+m.confrontations
pl.साम्य	n+m.affinities@n+m.correspondences
pl.सायकलस्वार	n+m.bicyclists
pl.सायक्लेड्स	n+f.cyclades
pl.सायफर	n+m.ciphers
pl.सावकार	n+m.financiers
pl.साहेब	n+m.sirs
pl.सिमेंट	n+m.cements
pl.सीलर	n+m.sealers
pl.सुकी मनुका	n+f.prunes
pl.सुगंधी पदार्थ	n+m.aromatics
pl.सुधारणा	n+m.makeovers
pl.सुरवंट	n+f.caterpillars
pl.सुळे	n+m.fangs
pl.सुवर्णपदके	n+m.golds
pl.सुवार्तिक	n+m.evangelists
pl.सूचना	n+f.advices
pl.सृष्टिवादी	n+m.creationists
pl.सेमी	n+m.semis
pl.सैनिक	n+m.privates
pl.सोडा	n+m.sodas
pl.सोने	n+m.golds
pl.सोन्याची खाण क्षेत्रे	n+m.goldfields
pl.स्क्रेपर	n+m.scrapers
pl.स्टेथोस्कोप	n+m.stethoscopes
pl.स्ट्राइकआउट	n+m.strikeouts
pl.स्थान	n+m.berths
pl.स्नाइप पक्षी	n+m.snipes
pl.स्पर्धा	n+f.rivalries
pl.स्पॅम	n+m.spams
pl.स्प्रॉकेट	n+m.sprockets
pl.स्मृती	n+f.reminiscences
pl.स्लिपकव्हर	n+m.slipcovers
pl.स्वच्छता तज्ञ	n+m.hygienists
pl.स्वाक्षरीकर्ते	n+m.signers
pl.स्वीडिश लोक	n+m.swedes
pl.स्वॅब	n+m.swabs
pl.स्वैर व्यक्ती	n+m.libertines
pl.हत्या	n+f.assassinations@n+m.homicides
pl.हप्ते	n+f.instalments
pl.हातगाडी	n+m.barrows
pl.हास्य	n+f.chuckles
pl.हिमपात	n+m.snows
pl.हृदयरोग तज्ञ	n+m.cardiologists
pl.हृदयाचे ठोके	n+m.heartbeats
pl.हेतू	n+m.intents@n+m.purports
pl.हेब्रीड्स	n+f.hebrides
pl.हॉटलाइन	n+f.hotlines
pl.होलोग्राम	n+m.holograms
अँकर	n+m.anchors
अँकरिंग	n+n.anchoring
अँकरेज	n+n.anchorage
अँख	n+m.ankh
अँगलसी	n.anglesey
अँगस	n+m.angus
अँगुइला	n+n.anguilla
अँग्लिकन	a.anglican@n+m.anglican
अँग्लियन	a.anglian
अँग्लिया	n.anglia
अँग्लो	a.anglo
अँजिओटेन्सिन	n+n.angiotensin
अँजिओप्लास्टी	n+f.angioplasty
अँजी	n+f.angie
अँजेल	n+m.angell
अँजेलस	n+m.angelus
अँजेला	n+f.angela
अँजेलाइन	n+f.angeline
अँजेलिक	n.angelique
अँजेलिका	n.angelica
अँजेलिना	n+f.angelina
अँजेलिस	n+m.angeles
