-artig	a.natured
Abstinenz	n+f.abstinence
Abstoßung	n+f.repulsion
Abstracts	n+m.abstracts
Abstrakt	n+n.abstract
Abstraktion	n+f.abstraction
Abstraktionen	n.abstractions
Abstrich	n+m.smear@n+m.smears@n+m.swab@n+m.swabs
Abstufung	n+f.gradation
Absturz	n+m.crash@n+m.plummet
Abstände	n+m.intervals@n+m.gaps@n+f.distances@n+f.spacing@n.clearances
Abstürze	n+m.crashes
Abstützung	n+f.bracing@n+f.shoring
Absurdität	n+f.absurdity
Abszess	n+m.abscess
Absätze	n+m.paragraphs@n+m.heels@n.paras
Abt	n+m.abbot
Abtei	n+f.abbey
Abteil	n+n.compartment
Abteile	n+f.compartments
Abteilung	n+f.department@n+f.division@n+f.branch@n+f.dept@n+f.dep@n+f.platoon@n+f.dpt
Abteilungen	n+f.departments@n+f.divisions@n+f.subdivisions
Abteilungs-	a.departmental@a.divisional
Abtragung	n+f.erosion@n+f.ablation
Abtreibung	n+f.abortion
Abtreibungen	n+m.abortions
Abtrift	n+f.leeway
Abtrünnige	n+m.renegade
Abtrünniger	n+m.renegades
Abtrünnigkeit	n+f.defection
Abtupfen	n+n.blotting
Abuja	n.abuja
Abwandlung	n+f.alteration
Abwasser	n+n.wastewater@n+n.sewage@n+m.effluent@n+m.effluents
Abwasserentsorgung	n+f.sewerage
Abwasserkanal	n+m.sewer
Abwasserkanäle	n.sewers
Abwechslung	n+f.alternation
Abwehr	n+f.defence
Abwehrkräfte	n.defences
Abwehrmittel	n+n.repellent@n+n.repellents
Abweichler	n+m.deviant@n+m.deviants@n+m.deviates@n+m.dissenters
Abweichung	n+f.variation@n+f.deviation@n+f.variance@n+f.divergence@n+f.aberrations@n+f.aberration@n+f.deviance@n+f.slippage@n+f.derogation
Abweichungen	n+f.variations@n+f.deviations@n.variances
Abweiser	n+m.deflector
Abweisung	n+f.dismissal
Abwerfen	n+n.dropping@n+n.shedding
Abwertung	n+f.devaluation
Abwesender	n+m.absentee
Abwesenheit	n+f.absence@n+f.truancy@n+f.disappearances
Abwesenheiten	n+f.absences
Abwicklung	n+f.handling@n+f.fulfilment
Abwurf	n+m.discards
Abwärtstakt	n+m.downbeat
Aby	n.aby
Abzeichen	n+n.badge@n+f.badges@n+n.insignia
Abziehbild	n+n.decal
Abziehbilder	n+f.decals
Abzieher	n+m.extractor@n+m.puller@n+m.extractors
Abzocke	n+f.scam@n+f.scams
Abzocker	n+m.scammers
Abzug	n+m.trigger@n+m.vent@n+f.deduction@n+f.subtraction
Abzugskanal	n+m.culvert@n+m.culverts
Abzweigung	n+f.fork
Abzüge	n+f.deductions
Acapulco	n.acapulco
Accenture	n.accenture
Accessoires	n+n.accessories
Account	n+m.account
Accra	n.accra
Acetaminophen	n+n.acetaminophen
Acetat	n+n.acetate
Aceton	n+n.acetone
Acetyl	n+n.acetyl
Acetylcholin	n+n.acetylcholine
Acetylen	n+n.acetylene
Achat	n+m.agate
Achilles	n.achilles
Achse	n+f.axis@n+f.axle
Achsel-	a.axillary@a.underarm
Achselhöhle	n+f.armpit@n+f.underarm
Achselhöhlen	n.armpits
Achselzucken	n+n.shrug@n+n.shrugs
Achsen	n+f.axes@n.axles
Achsen-	a.axial
Acht	n+f.eight
Achteck	n+n.octagon
Achtel	n+n.eighth
Achterbahn	n+f.coaster@n+f.rollercoaster
Achterbahnen	n+f.coasters
Achtsamkeit	n+f.mindfulness
Achtung	n+f.respect@n+f.regard
Achtzehntel	n+n.eighteenth
Achtziger	n.eighties
Achtzigerjahre	n.eighties
Aciclovir	n+n.acyclovir
Acker-	a.arable
Ackerbau	n+n.farming@n+m.tillage
Ackerland	n+n.farmland@n+n.cropland
Acosta	n.acosta
Acre	n+m.acre
Acryl	n+n.acrylic@n+n.acrylics
Acryl-	a.acrylic
Acrylamid	n+n.acrylamide
Acton	n.acton
Acyl	n+n.acyl
Ada	n+f.ada
Adagio	n+n.adagio
Adam	n+m.adam
Adams	n+m.adams
Adapter	n+m.adapter@n+m.adapters@n+m.adaptor@n+m.adaptors
Adaption	n+f.adaptation
Adaptionen	n+f.adaptations
Addams	n.addams
Addendum	n+n.addenda
Addie	n.addie
Addierer	n+m.adder
Addington	n.addington
Addison	n+m.addison
Additive	n+n.additives
Adel	n+m.nobility@n+m.aristocracy
Adelaide	n+n.adelaide
Adele	n.adele
Adeline	n.adeline
Adelsstand	n+m.peerage
Aden	n.aden
Adenin	n+n.adenine
Adenokarzinom	n+n.adenocarcinoma
Adenom	n+n.adenoma
Adenosin	n+n.adenosine
Adenovirus	n+n.adenovirus
Ader	n+f.vein@n+f.lode
Adern	n+f.veins
Adhäsion	n+f.adhesion
Adidas	n+m.adidas
Adieu	n+n.adieu
Adipositas	n+f.obesity
Adirondack	n.adirondack
Adirondacks	n+m.adirondacks
Adjazenz	n+f.adjacency
Adjektiv	n+n.adjective
Adjektive	n.adjectives
Adjungierte	n+m.adjoint
Adjutant	n+m.adjutant
Adjuvans	n+n.adjuvant
Adkins	n.adkins
Adler	n+m.eagle@n+m.eagles@n.adler
Adlerfarn	n+m.bracken
Adlerholz	n+n.oud
Adlige	n.nobles
Adliger	n+m.noble@n+m.nobleman
Adm.	n.adm
Admin	n+m.admin
Administration	n+f.administration
Administrator	n+m.admin@n+m.administrator
Administratoren	n+m.administrators@n+m.admins
Admins	n+m.admins
Admiral	n+m.admiral@n+m.adm@n+m.admirals
Admiralität	n+f.admiralty
Adobe	n+n.adobe
Adoleszenz	n+f.adolescence
Adolf	n.adolf@n.adolph
Adolfo	n.adolfo
Adonis	n+m.adonis
Adoptierende	n+m.adopters@n+m.adopter
Adoptierte	n+m.adoptee
Adoption	n+f.adoption
Adoptionen	n.adoptions
Adoptiv-	a.adoptive
Adrenalin	n+n.adrenaline@n+n.adrenalin@n+n.epinephrine
Adressat	n+m.addressee
Adresse	n+f.address
Adressen	n+f.addresses
Adria	n+f.adriatic
Adrian	n+m.adrian
Adriana	n.adriana
Adrienne	n.adrienne
Adsorption	n+f.adsorption
Advektion	n+f.advection
Advent	n+m.advent
Adventist	n+m.adventist
Adverb	n+n.adverb@n+n.adverbs
Advil	n.advil
Adware	n+f.adware
Aero-	a.aero
Aerobic	n+n.aerobic@n+n.aerobics
Aerodrom	n+n.aerodrome
Aerodynamik	n+f.aerodynamics
Aeronautik	n+f.aeronautics
Aerosol	n+n.aerosol
Aerosole	n.aerosols
Aetna	n.aetna
Affe	n+m.monkey@n+m.ape@n+m.simian
Affen	n+m.monkeys@n+m.apes
Affiche	n+f.affiche
Affinität	n+f.affinity@n+f.affinities
Affirmation	n+f.affirmation
Affix	n+n.affix
Affäre	n+f.affair@n+f.fling
Affären	n+f.affairs@n.affaires@n.liaisons
Afghandecken	n.afghans
Afghane	n+m.afghan@n+m.afghani
Afghanen	n.afghans
Afghani	n+m.afghani
Afghanistan	n+n.afghanistan
Aficionado	n+m.aficionado@n+m.aficionados
Africana	n+n.africana
Afrika	n+n.africa
Afrikaans	n+n.afrikaans
Afrikaner	n+m.african@n+m.africans
Afro	n+m.afro
After	n+m.anus
Aftershave	n+n.aftershave@n+n.aftershaves
Aga	n+m.aga
Agadir	n+n.agadir
Agape	n+f.agape
Agar	n+m.agar
Agar-Agar	n+m.agar
Agassi	n.agassi
Agatha	n.agatha
Agave	n+f.agave
Agee	n+m.agee
Agenda	n+f.agenda
Agenden	n+f.agendas
Agent	n+m.agent@n+m.operative
Agenten	n+m.agents@n+m.operatives
Agentur	n+f.agency
Agenturen	n+f.agencies
Aggie	n.aggie
Agglomeration	n+f.agglomeration
Aggregat	n+n.aggregate
Aggregate	n+n.aggregates
Aggregation	n+f.aggregation
Aggression	n+f.aggression
Aggressivität	n+f.aggressiveness
Aggressor	n+m.aggressor
Agilität	n+f.agility
Agio	n+n.agios
Agitation	n+f.agitation
Agitator	n+m.agitator
Agnes	n.agnes
Agnew	n.agnew
Agni	n+m.agni
Agnostiker	n+m.agnostic
Agnostizismus	n+m.agnosticism
Agonie	n+f.agony
Agonist	n+m.agonist
Agonisten	n.agonists
Agora	n+f.agora
Agr.	n.agr
Agra	n.agra
Agrar-	a.agrarian
Agrargeschäft	n+n.agribusiness
Agrarindustrie	n+f.agribusiness
Agricola	n+m.agricola
Agrippa	n+m.agrippa
Agronomie	n+f.agronomy
Aguilar	n.aguilar
Aguirre	n.aguirre
Agustín	n+m.agustin
Ahab	n+m.ahab
Ahle	n+f.awl
Ahmad	n.ahmad
Ahmadinedschad	n.ahmadinejad
Ahmed	n+m.ahmed
Ahn	n+m.forefathers
Ahne	n+m.ancestor
Ahnen	n+m.ancestors
Ahnenforscher	n+m.genealogists
Ahnenforschung	n+f.genealogy
Ahnenreihe	n+f.ancestries
Ahnung	n+f.clue@n+f.hunch
Ahorn	n+m.maple@n+m.maples
Aida	n.aida
Aiken	n.aiken
Aikido	n+n.aikido
Aileen	n.aileen
Aimee	n.aimee
Airbag	n+m.airbag
Airbags	n.airbags
Airbrush	n+f.airbrush
Airbus	n.airbus
Airdrie	n.airdrie
Airedale-Terrier	n+m.airedale
Aires	n+m.aires
Airliner	n+m.airliner
Airplay	n+m.airplay
Aisha	n.aisha
Aitel	n+m.chub
Aitken	n.aitken
Ajatollah	n+m.ayatollah
Ajax	n+m.ajax
Ajmer	n.ajmer
Akademie	n+f.academy@n+f.academe
Akademien	n+f.academies
Akademiker	n+m.academics@n+f.academics
Akadien	n.acadia
Akadier	n+m.acadian
Akazie	n+f.acacia
Akbar	n.akbar
Akelei	n+f.columbine
Akis	n.acis
Akita	n+m.akita
Akk	n+m.acc
Akkord	n+m.chord
Akkorde	n+m.chords
Akkordeon	n+n.accordion
Akkreditierung	n+f.accreditation@n+f.credentialing
Akkretion	n+f.accretion
Akku	n+m.battery
Akkumulator	n+m.accumulator
Akkus	n+m.batteries
Akne	n+f.acne
Akquisition	n+f.acquisition
Akquisitionen	n+f.acquisitions
Akrobat	n+m.acrobat@n+m.tumbler@n+m.tumblers
Akron	n+n.akron
Akronym	n+n.acronym
Akronyme	n+n.acronyms
Akropolis	n+f.acropolis
Akt	n+m.act@n+m.nude
Akte	n+f.file@n+f.record@n+m.nudes@n+f.dossier@n+f.dossiers@n+f.dockets
Akten	n+f.files@n+f.records
Aktenkoffer	n+m.briefcase
Aktennotizen	n+f.memos
Aktentaschen	n.briefcases
Aktenvernichter	n+m.shredder@n.shredders
Aktie	n+f.stock@n+f.share
Aktien	n+f.shares@n+f.stocks@n+n.equities
Aktienbesitz	n+m.shareholding
Aktin	n+n.actin
Aktion	n+f.action
Aktionen	n+f.actions
Aktionär	n+m.shareholder@n+m.stockholder
Aktionäre	n+m.shareholders@n+m.stockholders
Aktiva	n+f.assets
Aktivator	n+m.activator@n+m.activators
Aktive	n+m.actives
Aktivierung	n+f.activation@n+f.actuation
Aktivismus	n+m.activism
Aktivist	n+m.activist@n+m.campaigners@n+m.campaigner
Aktivisten	n+m.activists
Aktivität	n+f.activity@n+f.doings
Aktivitäten	n+f.activities
Aktivvermögen	n+n.actives
Aktualisierung	n+f.update
Aktualisierungen	n+f.updates
Aktualisierungsprogramm	n+n.updater
Aktualität	n+f.actuality
Aktuar	n+m.actuary@n+m.actuaries
Aktuator	n+m.actuator
Aktuatoren	n.actuators
Akupressur	n+f.acupressure
Akupunktur	n+f.acupuncture
Akustik	n+f.acoustics@n.sonics
Akzelerometer	n+n.accelerometer
Akzent	n+m.accent
Akzente	n+m.accents
Akzeptanz	n+f.acceptance@n+f.acceptances
Akzeptierbarkeit	n+f.acceptability
Akzeptor	n+m.acceptor
Al	n+m.al
Alabama	n+n.alabama
Alabaster	n+m.alabaster
Aladdin	n.aladdin
Alameda	n.alameda
Alamo	n.alamo
Alamogordo	n.alamogordo
Alan	n+m.alan
Alana	n.alana
Alanin	n+n.alanine
Alarm	n+m.alert@n+m.alarm
Alarme	n+m.alarms
Alaska	n+n.alaska
Alaskaner	n+m.alaskan
Alaun	n+m.alum@n+m.alums
Alba	n+f.alba
Alban	n.alban
Albaner	n+m.albanian@n.albanians
Albanien	n+n.albania
Albany	n+n.albany
Albatros	n+m.albatross
Albe	n+f.alb
Albedo	n+f.albedo
Albee	n+m.albee
Albemarle	n.albemarle
Alben	n+n.albums
Albernheit	n+f.silliness
Albert	n+m.albert
Alberta	n+n.alberta
Alberto	n.alberto
Albino	n+m.albino
Albion	n.albion
Albright	n.albright
Albtraum	n+m.nightmare
Albträume	n+m.nightmares
Album	n+n.album
Albumin	n+n.albumin
Albuquerque	n+n.albuquerque
Alcatraz	n.alcatraz
Alchemie	n+f.alchemy
Alchemist	n+m.alchemist
Alcoa	n.alcoa
Alcott	n+m.alcott
Ald	n.ald
Aldehyd	n+n.aldehyde
Alden	n.alden
Aldershot	n.aldershot
Aldo	n.aldo
Aldosteron	n+n.aldosterone
Ale	n+n.ale
Alec	n.alec
Alejandro	n.alejandro
Aleph	n+n.aleph
Ales	n.ales
Alex	n+m.alex
Alexander	n+m.alexander
Alexandra	n+f.alexandra
Alexandria	n+n.alexandria
Alexandrit	n+m.alexandrite
Alexei	n.alexei
Alexia	n.alexia
Alexie	n+f.alexia
Alexis	n.alexis
Alfalfa	n+f.alfalfa
Alfonso	n.alfonso
Alford	n.alford
Alfred	n+m.alfred
Alfredo	n.alfredo
Alge	n+f.seaweed
Algebra	n+f.algebra@n+f.alg
Algebren	n.algebras
Algen	n+f.weeds@n+f.algae
Algen-	a.algal
Alger	n.alger
Algerien	n+n.algeria
Algerier	n+m.algerian
Algier	n.algiers
Algonquin	n.algonquin
Algorithmen	n+m.algorithms
Algorithmus	n+m.algorithm
Alhambra	n.alhambra
Ali	n+m.ali
Alias	n+m.alias
Aliase	n+m.aliases
Aliasing	n+n.aliasing
Alibi	n+n.alibi
Alicante	n.alicante
Alice	n+f.alice
Alicia	n+f.alicia
Alimentation	n+f.alimentation
Alimente	n.alimony
Aline	n+f.aline
Alisa	n.alisa
Alisha	n.alisha
Alison	n+f.alison
Alissa	n+f.alissa
Alistair	n.alistair
Alk	n+m.auk@n.alk
Alkali	n+n.alkali
Alkalinität	n+f.alkalinity
Alkaloid	n+n.alkaloids
Alkohol	n+m.alcohol@n+m.liquor@n+m.booze@n+m.alcohols
Alkoholiker	n+m.alcoholic@n+m.alcoholics
Alkoholismus	n+m.alcoholism
Alkoven	n+f.alcove
Alkyl	n+n.alkyl
Allah	n+m.allah
Allahabad	n.allahabad
Allan	n+m.allan
Allee	n+f.avenue@n+f.ave
Alleen	n+f.avenues
Allegheny	n.allegheny
Allegorie	n+f.allegory
Allegra	n.allegra
Allegro	n+n.allegro
Allel	n+n.allele
Allele	n.alleles
Allen	n+m.allen
Allende	n.allende
Allentown	n.allentown
Allergen	n+n.allergen
Allergene	n.allergens
Allergie	n+f.allergy
Allergien	n+f.allergies
Allerlei	n+n.miscellany
Allgegenwart	n+f.ubiquity
Allgemeingültigkeit	n+f.generality@n+f.universality
Allgemeinheit	n+f.generality@n+f.generalities
Allheilmittel	n+n.panacea
Allianz	n+f.alliance
Allianzen	n+f.alliances
Allie	n.allie
Alligator	n+m.gator@n+m.alligator@n+m.alligators
Alligatoren	n.gators
Alliierte	n+m.allies
Allison	n+f.allison
Allium	n+n.allium
Allmende	n+f.commons
Allokator	n+m.allocator
Allstate	n.allstate
Allusion	n+f.allusion
Allyn	n.allyn
Allyson	n.allyson
Alm	n+f.alp
Alma	n+f.alma
Almanach	n+m.almanac
Almanache	n.almanacs
Almaty	n.almaty
Almosen	n+f.handouts@n+n.alms
Aloe	n+f.aloe
Alonzo	n.alonzo
Alopezie	n+f.alopecia
Alp	n+f.alp
Alpaka	n+n.alpaca@n+n.alpacas
Alpen	n.alps
Alpen-	a.alpine
Alpert	n.alpert
Alpha	n+n.alpha
Alphabet	n+n.alphabet@n+n.alphabets
Alphabetisierung	n+f.literacy
Alphonse	n.alphonse
Alpinismus	n+m.mountaineering
Alpträume	n+f.nightmares
Alraune	n+f.mandrake
Alse	n+m.shad
Alsterwasser	n+n.shandy
Alston	n.alston
Alt	n+m.alto
Alta	n+f.alta
Altair	n.altair
Altar	n+m.altar@n+m.altars
Altarm	n+m.oxbow
Alten	n.ancients
Altenpflege	n+f.eldercare
Alter	n+n.age@n+n.eld
Altern	n+n.aging@n+n.ageing
Alternation	n+f.alternation
Alternative	n+f.alternative
Alternativen	n+f.alternatives
Alters-	a.geriatric
Altersstufen	n+f.ages
Altersvorsorge	n+f.superannuation
Altertum	n+n.antiquity
Altertümer	n.antiquities
Altlasten	n.legacies
Altman	n.altman
Altnordisch	n+n.norse
Alton	n.alton
Altona	n+n.altona
Altoona	n.altoona
Altos	n+m.altos
Altruismus	n+m.altruism
Altstimmen	n+m.altos
Altwasser	n+n.billabong
Aluminium	n+n.aluminium
Aluminiumoxid	n+n.alumina
Alumni	n+m.alumni
Alumnus	n+m.alumnus
Alva	n.alva
Alvarado	n.alvarado
Alvarez	n.alvarez
Alveolar-	a.alveolar
Alvin	n.alvin
Alyson	n.alyson
Alyssa	n.alyssa
Alzheimer	n+m.alzheimer
Amadeus	n.amadeus
Amalgam	n+n.amalgam
Amanda	n+f.amanda
Amaranth	n+m.amaranth
Amaretto	n+m.amaretto
Amarillo	n.amarillo
Amaryllis	n+f.amaryllis
Amateur	n+m.amateur@a.amateur
Amateure	n+m.amateurs
Amazon	n+n.amazon
Amazone	n+f.amazons
Ambient-	a.ambient
Ambiente	n+f.ambience@n+f.ambiance
Ambition	n+f.ambition
Ambitionen	n+f.aspirations@n+f.ambitions
Ambivalenz	n+f.ambivalence
Ambler	n.ambler
Amboss	n+m.anvil
Ambrose	n.ambrose
Ambrosia	n+f.ambrosia@n+f.ragweed
Ambulanz	n+f.ambulance@n+f.dispensary
Ameise	n+f.ant@n+f.emmet
Ameisen	n+f.ants
Ameisenhaufen	n+m.anthill
Amelia	n.amelia
Amer.	n.amer
Americana	n+f.americana
Amerika	n+n.america@n+f.americas
Amerikaner	n+m.american@n+m.americans
Amerikanische Lärche	n+f.tamarack
